narrative_text,disaster_type,pension_intent
I am 60 years old and live in Gaya district. floods damaged my house. because of my age i cannot work.,Flood,OldAge
"Living in Gaya district, I am 60 years old. because of my age i cannot work. floods damaged my house.",Flood,OldAge
Floods damaged my house in Gaya district. I am 60 years old. because of my age i cannot work.,Flood,OldAge
"I live in Gaya district. floods damaged my house. Due to my condition, because of my age i cannot work.",Flood,OldAge
"At the age of 60, I stay in Gaya district. floods damaged my house. because of my age i cannot work.",Flood,OldAge
"Currently residing in Gaya district, I am 60 years old. floods damaged my house. because of my age i cannot work.",Flood,OldAge
I am 60 years of age. floods damaged my house. I live in Gaya district and because of my age i cannot work.,Flood,OldAge
"After the incident, I remain in Gaya district. floods damaged my house. At 60, because of my age i cannot work.",Flood,OldAge
"My age is 60 and I stay in Gaya district. floods damaged my house. As a result, because of my age i cannot work.",Flood,OldAge
"I reside in Gaya district. Following the disaster, floods damaged my house. At 60, because of my age i cannot work.",Flood,OldAge
I am 60 years old and live in Gaya district. floods damaged my house. i am too old to earn now.,Flood,OldAge
"Living in Gaya district, I am 60 years old. i am too old to earn now. floods damaged my house.",Flood,OldAge
Floods damaged my house in Gaya district. I am 60 years old. i am too old to earn now.,Flood,OldAge
"I live in Gaya district. floods damaged my house. Due to my condition, i am too old to earn now.",Flood,OldAge
"At the age of 60, I stay in Gaya district. floods damaged my house. i am too old to earn now.",Flood,OldAge
"Currently residing in Gaya district, I am 60 years old. floods damaged my house. i am too old to earn now.",Flood,OldAge
I am 60 years of age. floods damaged my house. I live in Gaya district and i am too old to earn now.,Flood,OldAge
"After the incident, I remain in Gaya district. floods damaged my house. At 60, i am too old to earn now.",Flood,OldAge
"My age is 60 and I stay in Gaya district. floods damaged my house. As a result, i am too old to earn now.",Flood,OldAge
"I reside in Gaya district. Following the disaster, floods damaged my house. At 60, i am too old to earn now.",Flood,OldAge
I am 60 years old and live in Gaya district. floods damaged my house. i am elderly and dependent on support.,Flood,OldAge
"Living in Gaya district, I am 60 years old. i am elderly and dependent on support. floods damaged my house.",Flood,OldAge
Floods damaged my house in Gaya district. I am 60 years old. i am elderly and dependent on support.,Flood,OldAge
"I live in Gaya district. floods damaged my house. Due to my condition, i am elderly and dependent on support.",Flood,OldAge
"At the age of 60, I stay in Gaya district. floods damaged my house. i am elderly and dependent on support.",Flood,OldAge
